Temperature(°C),Humidity(%),Wind speed (m/s),Solar Radiation (MJ/m2),Visibility (10m),Month,Weekday,Hour,Holiday,Seasons,Rented Bike Count
21.7,39,3.3,2.09,1979,March,Wednesday,12 PM - 4 PM,No,Spring,1025
21.7,41,3.2,1.91,2000,March,Wednesday,4 PM - 8 PM,No,Spring,1049
20.5,49,3.5,1.18,2000,March,Wednesday,4 PM - 8 PM,No,Spring,1325
19.2,53,2.4,0.58,2000,March,Wednesday,4 PM - 8 PM,No,Spring,2100
17.9,54,2.9,0.04,2000,March,Wednesday,4 PM - 8 PM,No,Spring,1478
17.2,60,2.5,0.0,1993,March,Wednesday,8 PM - 12 AM,No,Spring,1275
16.8,67,2.0,0.0,1775,March,Wednesday,8 PM - 12 AM,No,Spring,1181
16.2,71,2.0,0.0,1780,March,Wednesday,8 PM - 12 AM,No,Spring,983
16.1,69,1.8,0.0,1666,March,Wednesday,8 PM - 12 AM,No,Spring,587
16.0,69,2.4,0.0,1863,March,Thursday,12 AM - 4 AM,No,Spring,466
16.3,68,2.1,0.0,1859,March,Thursday,12 AM - 4 AM,No,Spring,355
16.5,68,1.3,0.0,1724,March,Thursday,12 AM - 4 AM,No,Spring,203
16.5,69,2.4,0.0,1659,March,Thursday,12 AM - 4 AM,No,Spring,51
15.1,86,2.1,0.0,877,March,Thursday,4 AM - 8 AM,No,Spring,9
14.5,94,2.0,0.0,487,March,Thursday,4 AM - 8 AM,No,Spring,8
14.4,96,0.7,0.0,453,March,Thursday,4 AM - 8 AM,No,Spring,10
14.3,97,0.3,0.0,189,March,Thursday,4 AM - 8 AM,No,Spring,15
14.1,97,1.1,0.0,342,March,Thursday,8 AM - 12 PM,No,Spring,39
14.1,98,1.1,0.06,253,March,Thursday,8 AM - 12 PM,No,Spring,32
14.2,98,1.2,0.14,299,March,Thursday,8 AM - 12 PM,No,Spring,27
13.9,98,1.4,0.13,296,March,Thursday,8 AM - 12 PM,No,Spring,65
13.3,97,2.9,0.19,771,March,Thursday,12 PM - 4 PM,No,Spring,204
12.7,97,2.6,0.23,467,March,Thursday,12 PM - 4 PM,No,Spring,269
12.1,97,2.0,0.2,177,March,Thursday,12 PM - 4 PM,No,Spring,289
11.6,97,3.4,0.26,117,March,Thursday,12 PM - 4 PM,No,Spring,329
10.7,98,1.2,0.14,196,March,Thursday,4 PM - 8 PM,No,Spring,214
10.9,98,1.3,0.09,222,March,Thursday,4 PM - 8 PM,No,Spring,411
10.4,98,2.5,0.03,116,March,Thursday,4 PM - 8 PM,No,Spring,676
10.4,98,2.0,0.0,391,March,Thursday,4 PM - 8 PM,No,Spring,606
10.5,97,1.8,0.0,372,March,Thursday,8 PM - 12 AM,No,Spring,533
10.4,96,2.7,0.0,499,March,Thursday,8 PM - 12 AM,No,Spring,567
9.8,90,3.7,0.0,493,March,Thursday,8 PM - 12 AM,No,Spring,506
9.3,90,4.1,0.0,609,March,Thursday,8 PM - 12 AM,No,Spring,343
8.4,86,2.2,0.0,2000,March,Friday,12 AM - 4 AM,No,Spring,287
7.2,83,2.1,0.0,2000,March,Friday,12 AM - 4 AM,No,Spring,278
6.7,72,2.1,0.0,2000,March,Friday,12 AM - 4 AM,No,Spring,178
6.1,67,2.6,0.0,2000,March,Friday,12 AM - 4 AM,No,Spring,102
5.7,62,2.4,0.0,2000,March,Friday,4 AM - 8 AM,No,Spring,85
5.2,60,2.0,0.0,2000,March,Friday,4 AM - 8 AM,No,Spring,85
4.4,61,1.7,0.0,2000,March,Friday,4 AM - 8 AM,No,Spring,222
3.7,59,2.9,0.0,2000,March,Friday,4 AM - 8 AM,No,Spring,652
3.8,56,2.4,0.32,2000,March,Friday,8 AM - 12 PM,No,Spring,1176
5.2,51,1.7,1.08,2000,March,Friday,8 AM - 12 PM,No,Spring,683
6.7,46,2.2,1.79,1936,March,Friday,8 AM - 12 PM,No,Spring,507
8.2,45,2.4,2.38,1992,March,Friday,8 AM - 12 PM,No,Spring,557
9.4,40,2.6,2.78,1913,March,Friday,12 PM - 4 PM,No,Spring,705
10.4,38,2.4,2.99,1959,March,Friday,12 PM - 4 PM,No,Spring,715
11.0,36,1.8,2.91,1973,March,Friday,12 PM - 4 PM,No,Spring,772
11.9,32,1.9,2.62,1976,March,Friday,12 PM - 4 PM,No,Spring,923
11.6,31,1.4,2.11,1999,March,Friday,4 PM - 8 PM,No,Spring,976
11.2,30,1.5,1.44,2000,March,Friday,4 PM - 8 PM,No,Spring,1160
10.0,33,1.2,0.68,2000,March,Friday,4 PM - 8 PM,No,Spring,1641
8.1,36,1.2,0.06,2000,March,Friday,4 PM - 8 PM,No,Spring,974
6.7,41,1.0,0.0,2000,March,Friday,8 PM - 12 AM,No,Spring,774
5.8,43,1.8,0.0,2000,March,Friday,8 PM - 12 AM,No,Spring,710
4.9,46,0.8,0.0,2000,March,Friday,8 PM - 12 AM,No,Spring,660
4.2,47,1.3,0.0,2000,March,Friday,8 PM - 12 AM,No,Spring,455
3.7,48,1.6,0.0,2000,March,Saturday,12 AM - 4 AM,No,Spring,414
3.0,52,0.7,0.0,2000,March,Saturday,12 AM - 4 AM,No,Spring,366
2.3,56,0.6,0.0,2000,March,Saturday,12 AM - 4 AM,No,Spring,268
1.8,59,0.7,0.0,2000,March,Saturday,12 AM - 4 AM,No,Spring,157
1.3,61,0.7,0.0,2000,March,Saturday,4 AM - 8 AM,No,Spring,103
1.0,62,0.9,0.0,2000,March,Saturday,4 AM - 8 AM,No,Spring,60
0.8,63,1.0,0.0,2000,March,Saturday,4 AM - 8 AM,No,Spring,109
0.5,64,0.8,0.01,2000,March,Saturday,4 AM - 8 AM,No,Spring,193
1.3,57,1.0,0.32,1974,March,Saturday,8 AM - 12 PM,No,Spring,384
3.4,49,1.6,1.03,1950,March,Saturday,8 AM - 12 PM,No,Spring,520
6.0,43,1.0,1.69,1829,March,Saturday,8 AM - 12 PM,No,Spring,561
8.0,39,1.2,2.26,1783,March,Saturday,8 AM - 12 PM,No,Spring,742
10.0,38,1.5,2.51,1677,March,Saturday,12 PM - 4 PM,No,Spring,933
10.9,32,1.2,2.22,1772,March,Saturday,12 PM - 4 PM,No,Spring,1111
12.1,29,2.3,2.26,1734,March,Saturday,12 PM - 4 PM,No,Spring,1294
13.2,23,2.8,2.52,1696,March,Saturday,12 PM - 4 PM,No,Spring,1514
13.7,28,2.1,1.88,1499,March,Saturday,4 PM - 8 PM,No,Spring,1440
12.1,34,2.5,0.81,1240,March,Saturday,4 PM - 8 PM,No,Spring,1272
10.6,42,2.8,0.31,1307,March,Saturday,4 PM - 8 PM,No,Spring,934
8.8,49,3.2,0.05,1207,March,Saturday,4 PM - 8 PM,No,Spring,718
7.9,54,2.3,0.0,1005,March,Saturday,8 PM - 12 AM,No,Spring,688
7.4,54,2.0,0.0,1142,March,Saturday,8 PM - 12 AM,No,Spring,624
7.0,55,2.7,0.0,1041,March,Saturday,8 PM - 12 AM,No,Spring,562
6.4,59,1.1,0.0,961,March,Saturday,8 PM - 12 AM,No,Spring,422
5.9,56,1.1,0.0,1019,March,Sunday,12 AM - 4 AM,No,Spring,407
5.7,55,1.4,0.0,1043,March,Sunday,12 AM - 4 AM,No,Spring,309
5.5,56,1.2,0.0,1067,March,Sunday,12 AM - 4 AM,No,Spring,226
5.5,57,1.1,0.0,1079,March,Sunday,12 AM - 4 AM,No,Spring,174
5.6,55,0.4,0.0,1115,March,Sunday,4 AM - 8 AM,No,Spring,106
5.6,55,1.2,0.0,1008,March,Sunday,4 AM - 8 AM,No,Spring,67
5.7,54,1.7,0.0,1208,March,Sunday,4 AM - 8 AM,No,Spring,73
5.5,58,1.0,0.0,937,March,Sunday,4 AM - 8 AM,No,Spring,152
5.9,58,1.8,0.11,861,March,Sunday,8 AM - 12 PM,No,Spring,293
6.3,53,0.5,0.34,849,March,Sunday,8 AM - 12 PM,No,Spring,398
7.2,53,1.6,0.45,709,March,Sunday,8 AM - 12 PM,No,Spring,460
8.5,49,0.7,0.76,718,March,Sunday,8 AM - 12 PM,No,Spring,587
9.8,46,1.2,1.13,710,March,Sunday,12 PM - 4 PM,No,Spring,751
10.6,43,1.3,1.07,705,March,Sunday,12 PM - 4 PM,No,Spring,881
11.0,41,1.1,0.81,763,March,Sunday,12 PM - 4 PM,No,Spring,993
12.0,37,0.8,1.09,879,March,Sunday,12 PM - 4 PM,No,Spring,1128
12.3,30,1.6,0.94,1263,March,Sunday,4 PM - 8 PM,No,Spring,1059
11.1,42,2.2,0.34,765,March,Sunday,4 PM - 8 PM,No,Spring,603
10.4,47,0.4,0.14,824,March,Sunday,4 PM - 8 PM,No,Spring,365
10.0,53,1.7,0.01,796,March,Sunday,4 PM - 8 PM,No,Spring,237
9.2,66,1.1,0.0,513,March,Sunday,8 PM - 12 AM,No,Spring,146
8.8,72,0.9,0.0,501,March,Sunday,8 PM - 12 AM,No,Spring,71
8.1,76,0.8,0.0,492,March,Sunday,8 PM - 12 AM,No,Spring,70
7.4,80,1.3,0.0,471,March,Sunday,8 PM - 12 AM,No,Spring,53
7.0,81,1.1,0.0,421,March,Monday,12 AM - 4 AM,No,Spring,67
6.7,84,0.8,0.0,320,March,Monday,12 AM - 4 AM,No,Spring,38
6.6,86,0.6,0.0,416,March,Monday,12 AM - 4 AM,No,Spring,28
6.5,88,0.9,0.0,276,March,Monday,12 AM - 4 AM,No,Spring,12
6.3,90,1.0,0.0,240,March,Monday,4 AM - 8 AM,No,Spring,9
6.2,89,1.5,0.0,338,March,Monday,4 AM - 8 AM,No,Spring,27
6.5,88,1.2,0.0,417,March,Monday,4 AM - 8 AM,No,Spring,91
6.5,88,1.4,0.0,515,March,Monday,4 AM - 8 AM,No,Spring,370
7.3,84,2.2,0.05,813,March,Monday,8 AM - 12 PM,No,Spring,592
8.2,81,2.7,0.2,1273,March,Monday,8 AM - 12 PM,No,Spring,387
9.1,77,2.7,0.27,1587,March,Monday,8 AM - 12 PM,No,Spring,292
10.2,65,3.3,0.57,2000,March,Monday,8 AM - 12 PM,No,Spring,393
10.2,58,3.5,0.32,2000,March,Monday,12 PM - 4 PM,No,Spring,403
10.1,61,3.7,0.38,1504,March,Monday,12 PM - 4 PM,No,Spring,387
10.1,59,3.3,0.57,2000,March,Monday,12 PM - 4 PM,No,Spring,326
9.8,57,3.0,0.43,2000,March,Monday,12 PM - 4 PM,No,Spring,263
8.9,63,3.0,0.28,1614,March,Monday,4 PM - 8 PM,No,Spring,271
8.5,59,2.7,0.16,1927,March,Monday,4 PM - 8 PM,No,Spring,605
8.6,55,2.4,0.09,1958,March,Monday,4 PM - 8 PM,No,Spring,1200
8.4,51,3.3,0.01,1977,March,Monday,4 PM - 8 PM,No,Spring,818
8.3,47,3.1,0.0,2000,March,Monday,8 PM - 12 AM,No,Spring,711
8.0,47,3.3,0.0,2000,March,Monday,8 PM - 12 AM,No,Spring,731
7.6,48,3.1,0.0,2000,March,Monday,8 PM - 12 AM,No,Spring,565
6.9,44,3.3,0.0,2000,March,Monday,8 PM - 12 AM,No,Spring,382
6.3,42,3.3,0.0,2000,March,Tuesday,12 AM - 4 AM,No,Spring,297
5.5,42,3.1,0.0,2000,March,Tuesday,12 AM - 4 AM,No,Spring,243
5.1,44,3.4,0.0,2000,March,Tuesday,12 AM - 4 AM,No,Spring,165
4.7,44,3.8,0.0,2000,March,Tuesday,12 AM - 4 AM,No,Spring,95
4.4,44,3.1,0.0,2000,March,Tuesday,4 AM - 8 AM,No,Spring,69
4.1,42,3.1,0.0,2000,March,Tuesday,4 AM - 8 AM,No,Spring,92
3.9,43,3.4,0.0,2000,March,Tuesday,4 AM - 8 AM,No,Spring,235
3.8,44,4.1,0.02,2000,March,Tuesday,4 AM - 8 AM,No,Spring,677
4.3,43,4.2,0.37,2000,March,Tuesday,8 AM - 12 PM,No,Spring,1212
5.7,38,3.9,0.98,1985,March,Tuesday,8 AM - 12 PM,No,Spring,661
7.4,35,3.5,1.81,1990,March,Tuesday,8 AM - 12 PM,No,Spring,418
8.4,34,3.6,2.36,1966,March,Tuesday,8 AM - 12 PM,No,Spring,488
9.0,33,3.1,2.59,1985,March,Tuesday,12 PM - 4 PM,No,Spring,522
8.0,37,3.4,1.96,2000,March,Tuesday,12 PM - 4 PM,No,Spring,516
7.3,38,3.4,1.6,1997,March,Tuesday,12 PM - 4 PM,No,Spring,478
6.5,39,3.3,1.21,2000,March,Tuesday,12 PM - 4 PM,No,Spring,492
5.6,42,4.2,0.81,2000,March,Tuesday,4 PM - 8 PM,No,Spring,518
4.9,43,4.3,0.42,2000,March,Tuesday,4 PM - 8 PM,No,Spring,719
4.1,43,3.5,0.21,2000,March,Tuesday,4 PM - 8 PM,No,Spring,1111
3.2,45,3.7,0.02,2000,March,Tuesday,4 PM - 8 PM,No,Spring,716
2.7,45,3.3,0.0,2000,March,Tuesday,8 PM - 12 AM,No,Spring,543
2.3,40,3.3,0.0,2000,March,Tuesday,8 PM - 12 AM,No,Spring,494
2.0,37,2.7,0.0,2000,March,Tuesday,8 PM - 12 AM,No,Spring,460
1.8,37,2.3,0.0,2000,March,Tuesday,8 PM - 12 AM,No,Spring,294
1.6,39,2.3,0.0,2000,March,Wednesday,12 AM - 4 AM,No,Spring,240
1.5,40,2.8,0.0,2000,March,Wednesday,12 AM - 4 AM,No,Spring,223
1.4,40,2.9,0.0,2000,March,Wednesday,12 AM - 4 AM,No,Spring,147
1.3,40,2.1,0.0,2000,March,Wednesday,12 AM - 4 AM,No,Spring,82
1.3,39,2.3,0.0,2000,March,Wednesday,4 AM - 8 AM,No,Spring,70
1.3,40,2.3,0.0,2000,March,Wednesday,4 AM - 8 AM,No,Spring,80
1.4,42,1.7,0.0,2000,March,Wednesday,4 AM - 8 AM,No,Spring,209
1.4,43,1.5,0.0,2000,March,Wednesday,4 AM - 8 AM,No,Spring,605
1.6,42,1.8,0.13,2000,March,Wednesday,8 AM - 12 PM,No,Spring,1097
2.5,40,1.9,0.41,2000,March,Wednesday,8 AM - 12 PM,No,Spring,614
3.6,37,1.3,0.83,2000,March,Wednesday,8 AM - 12 PM,No,Spring,374
4.8,35,2.1,1.38,2000,March,Wednesday,8 AM - 12 PM,No,Spring,339
4.8,51,2.2,1.12,1715,March,Wednesday,12 PM - 4 PM,No,Spring,333
4.0,64,2.0,0.75,1834,March,Wednesday,12 PM - 4 PM,No,Spring,196
1.9,89,1.5,0.41,102,March,Wednesday,12 PM - 4 PM,No,Spring,117
2.2,85,1.3,0.41,2000,March,Wednesday,12 PM - 4 PM,No,Spring,184
2.4,79,1.9,0.37,1995,March,Wednesday,4 PM - 8 PM,No,Spring,241
2.5,78,2.0,0.25,2000,March,Wednesday,4 PM - 8 PM,No,Spring,319
2.0,77,1.3,0.07,2000,March,Wednesday,4 PM - 8 PM,No,Spring,615
2.0,81,0.7,0.0,2000,March,Wednesday,4 PM - 8 PM,No,Spring,402
1.7,85,1.3,0.0,396,March,Wednesday,8 PM - 12 AM,No,Spring,120
1.2,92,0.7,0.0,1474,March,Wednesday,8 PM - 12 AM,No,Spring,231
1.2,87,0.9,0.0,1802,March,Wednesday,8 PM - 12 AM,No,Spring,320
1.5,86,1.2,0.0,1495,March,Wednesday,8 PM - 12 AM,No,Spring,226
1.6,86,1.7,0.0,1141,March,Thursday,12 AM - 4 AM,No,Spring,243
1.6,85,2.0,0.0,952,March,Thursday,12 AM - 4 AM,No,Spring,247
1.5,86,2.5,0.0,782,March,Thursday,12 AM - 4 AM,No,Spring,173
1.3,87,1.7,0.0,822,March,Thursday,12 AM - 4 AM,No,Spring,107
1.3,87,2.2,0.0,937,March,Thursday,4 AM - 8 AM,No,Spring,75
1.1,88,0.9,0.0,927,March,Thursday,4 AM - 8 AM,No,Spring,81
0.8,88,1.0,0.0,900,March,Thursday,4 AM - 8 AM,No,Spring,212
0.6,85,1.5,0.01,1321,March,Thursday,4 AM - 8 AM,No,Spring,600
1.1,79,1.7,0.36,1480,March,Thursday,8 AM - 12 PM,No,Spring,1174
2.5,67,1.3,1.11,1472,March,Thursday,8 AM - 12 PM,No,Spring,653
4.9,56,1.9,1.76,1480,March,Thursday,8 AM - 12 PM,No,Spring,446
6.9,46,2.1,2.33,1541,March,Thursday,8 AM - 12 PM,No,Spring,565
8.3,36,2.5,2.7,1665,March,Thursday,12 PM - 4 PM,No,Spring,668
9.9,29,3.2,2.91,1641,March,Thursday,12 PM - 4 PM,No,Spring,648
11.4,30,3.1,2.82,1672,March,Thursday,12 PM - 4 PM,No,Spring,674
10.7,34,4.5,2.51,1850,March,Thursday,12 PM - 4 PM,No,Spring,758
10.3,34,3.8,1.93,1850,March,Thursday,4 PM - 8 PM,No,Spring,752
9.6,38,3.2,1.35,1606,March,Thursday,4 PM - 8 PM,No,Spring,999
7.9,46,3.1,0.58,1057,March,Thursday,4 PM - 8 PM,No,Spring,1495
6.2,54,1.8,0.08,883,March,Thursday,4 PM - 8 PM,No,Spring,923
5.1,56,2.0,0.0,899,March,Thursday,8 PM - 12 AM,No,Spring,739
4.5,62,2.0,0.0,826,March,Thursday,8 PM - 12 AM,No,Spring,726
3.9,66,2.7,0.0,990,March,Thursday,8 PM - 12 AM,No,Spring,621
3.4,69,1.1,0.0,895,March,Thursday,8 PM - 12 AM,No,Spring,428
2.9,72,1.3,0.0,903,March,Friday,12 AM - 4 AM,No,Spring,335
2.5,75,1.5,0.0,786,March,Friday,12 AM - 4 AM,No,Spring,283
2.2,80,1.4,0.0,615,March,Friday,12 AM - 4 AM,No,Spring,216
1.9,81,1.1,0.0,525,March,Friday,12 AM - 4 AM,No,Spring,128
2.0,80,0.8,0.0,474,March,Friday,4 AM - 8 AM,No,Spring,92
2.2,79,0.8,0.0,553,March,Friday,4 AM - 8 AM,No,Spring,95
2.3,80,0.7,0.0,546,March,Friday,4 AM - 8 AM,No,Spring,243
2.5,79,1.4,0.01,536,March,Friday,4 AM - 8 AM,No,Spring,661
2.6,77,1.3,0.21,567,March,Friday,8 AM - 12 PM,No,Spring,1216
3.3,72,1.4,0.61,618,March,Friday,8 AM - 12 PM,No,Spring,664
5.4,64,1.6,1.7,637,March,Friday,8 AM - 12 PM,No,Spring,461
7.1,50,1.7,2.24,799,March,Friday,8 AM - 12 PM,No,Spring,584
9.3,37,2.3,2.72,940,March,Friday,12 PM - 4 PM,No,Spring,690
10.9,36,2.1,2.87,1073,March,Friday,12 PM - 4 PM,No,Spring,682
12.4,33,2.9,2.71,811,March,Friday,12 PM - 4 PM,No,Spring,758
12.1,30,3.0,2.41,1120,March,Friday,12 PM - 4 PM,No,Spring,849
12.2,24,2.8,1.98,1655,March,Friday,4 PM - 8 PM,No,Spring,901
11.2,27,3.5,1.19,1585,March,Friday,4 PM - 8 PM,No,Spring,1108
9.7,36,3.6,0.37,948,March,Friday,4 PM - 8 PM,No,Spring,1611
8.3,48,3.0,0.06,779,March,Friday,4 PM - 8 PM,No,Spring,932
6.7,48,2.6,0.0,774,March,Friday,8 PM - 12 AM,No,Spring,724
5.8,60,2.2,0.0,650,March,Friday,8 PM - 12 AM,No,Spring,676
5.3,63,1.8,0.0,591,March,Friday,8 PM - 12 AM,No,Spring,638
5.0,42,1.7,0.0,717,March,Friday,8 PM - 12 AM,No,Spring,422
4.7,46,1.7,0.0,746,March,Saturday,12 AM - 4 AM,No,Spring,403
4.7,51,1.1,0.0,728,March,Saturday,12 AM - 4 AM,No,Spring,360
5.0,50,1.7,0.0,669,March,Saturday,12 AM - 4 AM,No,Spring,305
5.0,51,0.8,0.0,659,March,Saturday,12 AM - 4 AM,No,Spring,197
5.1,54,1.2,0.0,550,March,Saturday,4 AM - 8 AM,No,Spring,122
4.7,54,1.3,0.0,543,March,Saturday,4 AM - 8 AM,No,Spring,82
4.2,50,0.6,0.0,633,March,Saturday,4 AM - 8 AM,No,Spring,113
4.0,54,0.9,0.01,587,March,Saturday,4 AM - 8 AM,No,Spring,198
4.5,49,0.4,0.19,580,March,Saturday,8 AM - 12 PM,No,Spring,424
6.5,40,2.5,0.69,588,March,Saturday,8 AM - 12 PM,No,Spring,456
7.2,43,1.5,0.42,559,March,Saturday,8 AM - 12 PM,No,Spring,494
9.0,56,2.0,1.11,399,March,Saturday,8 AM - 12 PM,No,Spring,589
10.6,52,3.1,2.27,390,March,Saturday,12 PM - 4 PM,No,Spring,806
12.4,50,2.5,2.48,379,March,Saturday,12 PM - 4 PM,No,Spring,880
12.7,55,3.4,2.42,378,March,Saturday,12 PM - 4 PM,No,Spring,855
12.4,58,4.1,2.26,404,March,Saturday,12 PM - 4 PM,No,Spring,1025
12.3,61,3.4,1.82,359,March,Saturday,4 PM - 8 PM,No,Spring,947
11.1,66,4.2,1.18,367,March,Saturday,4 PM - 8 PM,No,Spring,916
9.0,76,3.0,0.45,288,March,Saturday,4 PM - 8 PM,No,Spring,736
7.7,80,2.8,0.05,234,March,Saturday,4 PM - 8 PM,No,Spring,521
7.1,83,3.3,0.0,203,March,Saturday,8 PM - 12 AM,No,Spring,513
6.7,84,2.8,0.0,193,March,Saturday,8 PM - 12 AM,No,Spring,487
6.5,85,2.3,0.0,167,March,Saturday,8 PM - 12 AM,No,Spring,460
6.4,85,2.3,0.0,155,March,Saturday,8 PM - 12 AM,No,Spring,354
6.4,84,1.4,0.0,171,March,Sunday,12 AM - 4 AM,No,Spring,372
6.4,82,1.2,0.0,186,March,Sunday,12 AM - 4 AM,No,Spring,267
6.0,82,1.3,0.0,198,March,Sunday,12 AM - 4 AM,No,Spring,195
5.5,83,0.9,0.0,186,March,Sunday,12 AM - 4 AM,No,Spring,139
5.3,82,1.0,0.0,200,March,Sunday,4 AM - 8 AM,No,Spring,90
5.0,83,0.7,0.0,200,March,Sunday,4 AM - 8 AM,No,Spring,60
4.6,84,0.7,0.0,193,March,Sunday,4 AM - 8 AM,No,Spring,71
4.7,82,1.3,0.02,198,March,Sunday,4 AM - 8 AM,No,Spring,137
5.0,79,1.1,0.23,203,March,Sunday,8 AM - 12 PM,No,Spring,225
6.3,73,1.3,0.79,218,March,Sunday,8 AM - 12 PM,No,Spring,331
8.4,65,1.8,1.67,229,March,Sunday,8 AM - 12 PM,No,Spring,359
10.7,56,2.0,2.27,261,March,Sunday,8 AM - 12 PM,No,Spring,466
12.7,45,1.3,2.63,321,March,Sunday,12 PM - 4 PM,No,Spring,626
14.6,38,1.9,2.75,315,March,Sunday,12 PM - 4 PM,No,Spring,784
16.1,37,2.4,2.62,315,March,Sunday,12 PM - 4 PM,No,Spring,882
16.7,38,3.1,2.27,265,March,Sunday,12 PM - 4 PM,No,Spring,960
16.5,39,3.1,1.91,366,March,Sunday,4 PM - 8 PM,No,Spring,1031
15.8,40,2.3,1.28,481,March,Sunday,4 PM - 8 PM,No,Spring,911
14.4,44,2.7,0.6,596,March,Sunday,4 PM - 8 PM,No,Spring,768
12.6,59,2.5,0.08,384,March,Sunday,4 PM - 8 PM,No,Spring,571
10.7,70,2.8,0.0,236,March,Sunday,8 PM - 12 AM,No,Spring,502
9.8,74,2.2,0.0,219,March,Sunday,8 PM - 12 AM,No,Spring,456
8.8,79,2.0,0.0,203,March,Sunday,8 PM - 12 AM,No,Spring,424
8.0,82,1.3,0.0,196,March,Sunday,8 PM - 12 AM,No,Spring,336
7.1,84,2.3,0.0,185,March,Monday,12 AM - 4 AM,No,Spring,244
6.3,87,1.8,0.0,153,March,Monday,12 AM - 4 AM,No,Spring,185
5.4,95,1.5,0.0,89,March,Monday,12 AM - 4 AM,No,Spring,93
5.5,96,1.6,0.0,72,March,Monday,12 AM - 4 AM,No,Spring,62
5.5,96,2.0,0.0,53,March,Monday,4 AM - 8 AM,No,Spring,65
5.4,97,1.5,0.0,38,March,Monday,4 AM - 8 AM,No,Spring,98
5.7,97,0.5,0.0,80,March,Monday,4 AM - 8 AM,No,Spring,227
6.0,96,0.6,0.0,94,March,Monday,4 AM - 8 AM,No,Spring,581
6.4,90,1.4,0.13,117,March,Monday,8 AM - 12 PM,No,Spring,983
7.6,82,0.7,0.55,147,March,Monday,8 AM - 12 PM,No,Spring,540
10.0,70,1.0,1.57,187,March,Monday,8 AM - 12 PM,No,Spring,415
12.6,60,2.4,2.23,281,March,Monday,8 AM - 12 PM,No,Spring,422
14.6,53,2.5,2.65,348,March,Monday,12 PM - 4 PM,No,Spring,492
16.0,47,2.5,2.8,459,March,Monday,12 PM - 4 PM,No,Spring,504
17.4,39,2.9,2.7,520,March,Monday,12 PM - 4 PM,No,Spring,575
17.6,33,3.6,2.44,985,March,Monday,12 PM - 4 PM,No,Spring,604
17.7,33,3.4,1.96,897,March,Monday,4 PM - 8 PM,No,Spring,819
17.1,31,3.3,1.33,1075,March,Monday,4 PM - 8 PM,No,Spring,925
16.0,33,2.9,0.6,1138,March,Monday,4 PM - 8 PM,No,Spring,1477
14.3,37,3.1,0.1,1247,March,Monday,4 PM - 8 PM,No,Spring,1031
12.9,42,2.8,0.0,1047,March,Monday,8 PM - 12 AM,No,Spring,835
11.6,54,1.5,0.0,693,March,Monday,8 PM - 12 AM,No,Spring,798
10.7,58,1.4,0.0,600,March,Monday,8 PM - 12 AM,No,Spring,662
9.8,62,0.6,0.0,535,March,Monday,8 PM - 12 AM,No,Spring,447
9.0,68,1.1,0.0,426,March,Tuesday,12 AM - 4 AM,No,Spring,380
8.7,70,0.9,0.0,398,March,Tuesday,12 AM - 4 AM,No,Spring,278
8.3,70,0.8,0.0,394,March,Tuesday,12 AM - 4 AM,No,Spring,163
8.1,71,0.9,0.0,378,March,Tuesday,12 AM - 4 AM,No,Spring,127
7.8,70,0.3,0.0,395,March,Tuesday,4 AM - 8 AM,No,Spring,95
8.0,63,0.8,0.0,439,March,Tuesday,4 AM - 8 AM,No,Spring,110
8.1,66,0.6,0.0,415,March,Tuesday,4 AM - 8 AM,No,Spring,231
8.5,67,0.7,0.02,475,March,Tuesday,4 AM - 8 AM,No,Spring,705
9.3,62,0.6,0.25,519,March,Tuesday,8 AM - 12 PM,No,Spring,1201
11.6,51,0.8,0.84,498,March,Tuesday,8 AM - 12 PM,No,Spring,699
13.9,40,0.8,1.6,586,March,Tuesday,8 AM - 12 PM,No,Spring,462
15.8,40,1.9,1.95,647,March,Tuesday,8 AM - 12 PM,No,Spring,560
16.7,47,2.4,1.76,620,March,Tuesday,12 PM - 4 PM,No,Spring,586
18.6,46,2.1,2.54,642,March,Tuesday,12 PM - 4 PM,No,Spring,563
19.4,45,2.0,2.05,624,March,Tuesday,12 PM - 4 PM,No,Spring,618
19.9,45,2.7,1.79,676,March,Tuesday,12 PM - 4 PM,No,Spring,636
19.5,50,3.4,1.6,613,March,Tuesday,4 PM - 8 PM,No,Spring,774
18.4,54,3.2,1.05,605,March,Tuesday,4 PM - 8 PM,No,Spring,960
16.8,60,3.1,0.46,580,March,Tuesday,4 PM - 8 PM,No,Spring,1521
15.0,67,2.6,0.07,452,March,Tuesday,4 PM - 8 PM,No,Spring,1020
13.9,72,2.4,0.0,385,March,Tuesday,8 PM - 12 AM,No,Spring,864
13.4,73,1.5,0.0,325,March,Tuesday,8 PM - 12 AM,No,Spring,866
12.9,75,1.3,0.0,326,March,Tuesday,8 PM - 12 AM,No,Spring,764
12.4,74,1.5,0.0,356,March,Tuesday,8 PM - 12 AM,No,Spring,527
12.0,76,0.8,0.0,346,March,Wednesday,12 AM - 4 AM,No,Spring,400
11.6,74,1.2,0.0,374,March,Wednesday,12 AM - 4 AM,No,Spring,337
11.5,75,1.9,0.0,399,March,Wednesday,12 AM - 4 AM,No,Spring,225
10.9,79,0.8,0.0,383,March,Wednesday,12 AM - 4 AM,No,Spring,150
10.6,77,0.9,0.0,422,March,Wednesday,4 AM - 8 AM,No,Spring,104
10.2,80,0.8,0.0,366,March,Wednesday,4 AM - 8 AM,No,Spring,107
